"designacion_anio","cargo_tipo","instancia_tipo","materia","cantidad_varones","cantidad_mujeres"
2013,"Defensor","Juzgado","Penal",4,2
2013,"Defensor","Tribunal","Penal",3,5
2013,"Fiscal","Cámara","Penal",1,0
2013,"Fiscal","Juzgado","Penal",6,2
2013,"Fiscal","Tribunal","Penal",10,5
2013,"Fiscal","Juzgado","Seguridad social",1,0
2013,"Juez","Cámara","Penal",9,1
2013,"Juez","Tribunal","Penal",1,0
2014,"Defensor","Cámara","Múltiple",1,0
2014,"Defensor","Cámara","Penal",3,3
2014,"Defensor","Juzgado","Penal",3,3
2014,"Defensor","Tribunal","Penal",10,3
2014,"Fiscal","Cámara","Civil y/o comercial",1,1
2014,"Fiscal","Juzgado","Civil y/o comercial",0,1
2014,"Fiscal","Juzgado","Laboral",2,0
2014,"Fiscal","Cámara","Múltiple",1,0
2014,"Fiscal","Juzgado","Múltiple",1,0
2014,"Fiscal","Juzgado","Penal",12,5
2014,"Fiscal","Tribunal","Penal",12,0
2014,"Juez","Juzgado","Civil y/o comercial",10,4
2014,"Juez","Juzgado","Laboral",1,1
2014,"Juez","Cámara","Múltiple",4,2
2014,"Juez","Juzgado","Múltiple",1,2
2014,"Juez","Juzgado","Penal",1,2
2014,"Juez","Tribunal","Penal",4,1
2014,"Juez","Juzgado","Penal económico",2,0
2014,"Juez","Juzgado","Seguridad social",2,1
2015,"Defensor","Cámara","Múltiple",1,0
2015,"Defensor","Juzgado","Múltiple",1,1
2015,"Defensor","Juzgado","Penal",10,4
2015,"Defensor","Tribunal","Penal",5,3
2015,"Fiscal","Sin datos",,1,0
2015,"Fiscal","Cámara","Civil y/o comercial",1,0
2015,"Fiscal","Juzgado","Múltiple",1,0
2015,"Fiscal","Juzgado","Penal",12,12
2015,"Fiscal","Tribunal","Penal",4,0
2015,"Fiscal","Cámara","Penal económico",1,1
2015,"Fiscal","Tribunal","Penal económico",1,0
2015,"Juez","Cámara","Civil y/o comercial",4,3
2015,"Juez","Juzgado","Contencioso administrativo",0,1
2015,"Juez","Juzgado","Laboral",1,0
2015,"Juez","Cámara","Múltiple",4,1
2015,"Juez","Juzgado","Múltiple",4,0
2015,"Juez","Juzgado","Penal",2,0
2015,"Juez","Tribunal","Penal",9,4
2016,"Defensor","Juzgado","Contencioso administrativo",1,0
2016,"Defensor","Cámara","Penal",3,0
2016,"Defensor","Juzgado","Penal",2,0
2016,"Defensor","Tribunal","Penal",1,0
2016,"Fiscal","Cámara","Múltiple",1,1
2016,"Fiscal","Tribunal","Múltiple",1,2
2016,"Fiscal","Juzgado","Penal",1,0
2016,"Fiscal","Tribunal","Penal",1,2
2016,"Fiscal","Cámara","Seguridad social",1,0
2016,"Juez","Sin datos",,2,0
2016,"Juez","Juzgado","Contencioso administrativo",0,1
2016,"Juez","Juzgado","Laboral",0,1
2016,"Juez","Cámara","Múltiple",2,1
2016,"Juez","Juzgado","Múltiple",8,1
2016,"Juez","Juzgado","Penal",2,0
2016,"Juez","Tribunal","Penal",4,1
2016,"Juez","Cámara","Penal económico",0,1
2017,"Defensor","Cámara","Penal",2,0
2017,"Defensor","Juzgado","Penal",10,5
2017,"Fiscal","Tribunal","Múltiple",3,0
2017,"Fiscal","Juzgado","Penal",1,0
2017,"Fiscal","Tribunal","Penal",5,0
2017,"Juez","Cámara","Civil y/o comercial",2,0
2017,"Juez","Juzgado","Civil y/o comercial",4,1
2017,"Juez","Cámara","Laboral",2,1
2017,"Juez","Juzgado","Laboral",1,8
2017,"Juez","Cámara","Múltiple",5,2
2017,"Juez","Juzgado","Múltiple",4,0
2017,"Juez","Juzgado","Penal",7,5
2017,"Juez","Tribunal","Penal",7,1
2018,"Defensor","Cámara","Penal",3,0
2018,"Defensor","Juzgado","Penal",0,2
2018,"Defensor","Tribunal","Penal",4,2
2018,"Fiscal","Sin datos",,1,0
2018,"Fiscal","Cámara","Múltiple",1,0
2018,"Fiscal","Tribunal","Múltiple",2,0
2018,"Fiscal","Cámara","Penal",1,0
2018,"Fiscal","Juzgado","Penal",5,1
2018,"Juez","Sin datos",,6,1
2018,"Juez","Cámara","Civil y/o comercial",6,2
2018,"Juez","Juzgado","Civil y/o comercial",10,18
2018,"Juez","Cámara","Contencioso administrativo",1,1
2018,"Juez","Cámara","Laboral",1,3
2018,"Juez","Juzgado","Laboral",2,3
2018,"Juez","Cámara","Múltiple",3,2
2018,"Juez","Juzgado","Múltiple",3,0
2018,"Juez","Cámara","Penal",2,0
2018,"Juez","Juzgado","Penal",6,7
2018,"Juez","Tribunal","Penal",5,2
2018,"Juez","Tribunal","Penal económico",3,0
2018,"Juez","Juzgado","Seguridad social",1,0
2019,"Defensor","Cámara","Penal",1,0
2019,"Defensor","Tribunal","Penal",1,1
2019,"Juez","Cámara","Civil y/o comercial",2,1
2019,"Juez","Juzgado","Civil y/o comercial",3,1
2019,"Juez","Juzgado","Contencioso administrativo",1,0
2019,"Juez","Cámara","Laboral",2,1
2019,"Juez","Juzgado","Laboral",2,5
2019,"Juez","Juzgado","Múltiple",4,2
2019,"Juez","Juzgado","Penal",1,1
2019,"Juez","Tribunal","Penal",6,4
2019,"Juez","Juzgado","Seguridad social",0,1
